Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Image Src,SEO Title,SEO Description
freelance-client-acquisition,Freelance Client Acquisition,"<p>A practical, no-fluff guide that walks you through exactly what to do, what tools to use, and how to get results fast.</p>",Behike,,Digital Download,"guide, clients, freelancing, services, digital product",TRUE,Title,Default,FCA-080,4.99,9.98,,Freelance Client Acquisition,"Guide to landing freelance clients. Practical outreach strategies and scripts."
mastery-for-builders,Mastery for Builders,"<p>A practical, no-fluff guide that walks you through exactly what to do, what tools to use, and how to get results fast.</p>",Behike,,Digital Download,"guide, digital product",TRUE,Title,Default,MFB-081,4.99,9.98,,Mastery for Builders,"Guide for builders who want mastery. Practical steps to level up your craft."
n8n-automation-pack,N8N Automation Pack,"<p>A practical, no-fluff guide that walks you through exactly what to do, what tools to use, and how to get results fast.</p>",Behike,,Digital Download,"guide, automation, n8n, workflows, digital product",TRUE,Title,Default,NAP-082,4.99,9.98,,N8N Automation Pack,"Collection of n8n automation workflows. Ready-to-use templates for solopreneurs."
prompt-engineering-cheat-sheet,Prompt Engineering Cheat Sheet,"<p>A practical, no-fluff guide that walks you through exactly what to do, what tools to use, and how to get results fast.</p>",Behike,,Digital Download,"guide, ai, chatgpt, prompt engineering, digital product",TRUE,Title,Default,PECS-083,4.99,9.98,,Prompt Engineering Cheat Sheet,"Quick-reference cheat sheet for prompt engineering. Get better AI outputs fast."
reel-factory-system,Reel Factory System,"<p>A practical, no-fluff guide that walks you through exactly what to do, what tools to use, and how to get results fast.</p>",Behike,,Digital Download,"guide, digital product",TRUE,Title,Default,RFS-084,4.99,9.98,,Reel Factory System,"System for producing Reels at scale. Practical workflow and tools included."
social-media-pipeline-guide-v2,Social Media Pipeline Guide V2,"<p>A practical, no-fluff guide that walks you through exactly what to do, what tools to use, and how to get results fast.</p>",Behike,,Digital Download,"guide, digital product",TRUE,Title,Default,SMPGV2-085,4.99,9.98,,Social Media Pipeline Guide V2,"Updated social media pipeline guide. Workflows and tools for content at scale."
solopreneur-os,Solopreneur OS,"<p>A practical, no-fluff guide that walks you through exactly what to do, what tools to use, and how to get results fast.</p>",Behike,,Digital Download,"guide, digital product",TRUE,Title,Default,SOS-086,4.99,9.98,,Solopreneur OS,"Operating system for solopreneurs. Practical guide to organizing your entire business."
solopreneur-second-brain,Solopreneur Second Brain,"<p>A practical, no-fluff guide that walks you through exactly what to do, what tools to use, and how to get results fast.</p>",Behike,,Digital Download,"guide, ai, artificial intelligence, automation, digital product",TRUE,Title,Default,SSB-087,4.99,9.98,,Solopreneur Second Brain,"Build your solopreneur second brain with AI. Capture, organize, and act on ideas."
telegram-bot-for-business,Telegram Bot for Business,"<p>A practical, no-fluff guide that walks you through exactly what to do, what tools to use, and how to get results fast.</p>",Behike,,Digital Download,"guide, automation, bot, telegram, digital product",TRUE,Title,Default,TBFB-088,4.99,9.98,,Telegram Bot for Business,"Guide to building a Telegram bot for business. Automation and workflows included."
zero-dollar-ai-stack,Zero Dollar AI Stack,"<p>A practical, no-fluff guide that walks you through exactly what to do, what tools to use, and how to get results fast.</p>",Behike,,Digital Download,"guide, ai, artificial intelligence, automation, digital product",TRUE,Title,Default,ZDAS-089,4.99,9.98,,Zero Dollar AI Stack,"Build a complete AI stack for $0. Free tools and setup guide included."
zero-to-first-sale,Zero to First Sale,"<p>A practical, no-fluff guide that walks you through exactly what to do, what tools to use, and how to get results fast.</p>",Behike,,Digital Download,"guide, digital product",TRUE,Title,Default,ZTFS-090,4.99,9.98,,Zero to First Sale,"Get your first digital product sale. Step-by-step guide from zero to revenue."
10-voice-prompt-templates,10 Voice Prompt Templates,"<p>A plug-and-play template you can customize immediately. Save hours of setup time.</p>",Behike,,Digital Download,"template, ai, chatgpt, prompt engineering, digital product",TRUE,Title,Default,10VPT-091,4.99,9.98,,10 Voice Prompt Templates,"10 ready-to-use voice prompt templates. Customize for your brand immediately."
landing-page-template,Landing Page Template,"<p>A plug-and-play template you can customize immediately. Save hours of setup time.</p>",Behike,,Digital Download,"template, digital product",TRUE,Title,Default,LPT-092,4.99,9.98,,Landing Page Template,"Plug-and-play landing page template. Customize and launch your page in minutes."
voice-bible-template,Voice Bible Template,"<p>A plug-and-play template you can customize immediately. Save hours of setup time.</p>",Behike,,Digital Download,"template, digital product",TRUE,Title,Default,VBT-093,4.99,9.98,,Voice Bible Template,"Define your brand voice with this template. Plug-and-play, customize immediately."
ai-safety-checklist,AI Safety Checklist,"<p>A free resource to get you started. Download it, use it, share it.</p>",Behike,,Digital Download,"guide, ai, artificial intelligence, automation, digital product, free, lead magnet",TRUE,Title,Default,ASC-094,0.00,,,AI Safety Checklist - Free Download,"Free AI safety checklist. Essential checks for responsible AI use. Download now."
behike-launch-checklist,Behike Launch Checklist,"<p>A free resource to get you started. Download it, use it, share it.</p>",Behike,,Digital Download,"guide, digital product, free, lead magnet",TRUE,Title,Default,BLC-095,0.00,,,Behike Launch Checklist - Free Download,"Free launch checklist from Behike. Everything you need before going live."
voice-audit-checklist,Voice Audit Checklist,"<p>A free resource to get you started. Download it, use it, share it.</p>",Behike,,Digital Download,"guide, digital product, free, lead magnet",TRUE,Title,Default,VAC-096,0.00,,,Voice Audit Checklist - Free Download,"Free voice audit checklist. Evaluate and refine your brand voice today."
